epoch,acc,loss,val_acc,val_loss
0,0.3548297814523748,1.3366992380227734,0.3948126797717312,1.279231181062264
1,0.643786326953984,0.9973705949263331,0.6512968315171234,0.9038853401409446
2,0.7993357322930695,0.5689653289836099,0.6858789628795656,0.7711432378642498
3,0.8491558263976918,0.4092692944553464,0.6858789611618525,0.7669488138355508
4,0.8773872128755077,0.32265259765569043,0.694524494303063,0.8076367969128172
5,0.9056185993863182,0.2680203664296227,0.6829971184991622,0.8673511606128483
6,0.9216717409685052,0.22452434065960267,0.694524494303063,0.9134296460522698
7,0.9413230001283028,0.1837951662284398,0.6916426516403726,0.9707116658131052
8,0.9504566840474836,0.15556624379558573,0.6628242061186249,1.0735809882023837
9,0.9573761415620144,0.13566458802654774,0.7002881859839821,1.0826150999976167
10,0.9631884860226958,0.12245284015332897,0.6887608067446552,1.1513458043766296
11,0.967063382412303,0.10776644224626286,0.6945244955054621,1.1691583965285024
12,0.9714918350401328,0.09618479890582339,0.6714697421799476,1.3009283855256841
13,0.9698311652366455,0.10267402946953129,0.6714697421799476,1.2800894951614248
14,0.9731525048436203,0.08964461131692097,0.6887608084623683,1.3058783028929652
15,0.9742596180459452,0.08611009645368826,0.6772334297383553,1.3579333680507428
16,0.976473844450595,0.08145131624012221,0.6887608084623683,1.3842344668825353
17,0.9753667310997947,0.07474104183270533,0.6772334297383553,1.4412154189447848
18,0.9759202877009572,0.07601947138596861,0.6743515836402387,1.4418493124524867
19,0.97758095765292,0.0665008331595647,0.6772334292230414,1.4728331335683378
20,0.9756435094003759,0.0763985913544852,0.6714697409775484,1.4937357703272136
21,0.9786880707067696,0.06789172807831596,0.6829971197015614,1.5449788113492366
22,0.9789648491558262,0.0642349761899137,0.6858789628795656,1.5439794853716144
23,0.9767506226027008,0.06322420902143976,0.6570605207932442,1.6012085267377518
24,0.978688071036715,0.06201801119733642,0.688760805542256,1.6148650701176537
