epoch,acc,loss,val_acc,val_loss
0,0.3498477719511776,1.3334115628486125,0.4380403466801822,1.2906678152359186
1,0.6166620536207525,1.0174019135763663,0.6311239179341869,0.9736129435407326
2,0.7921394964779574,0.5992340296548125,0.6974063386834664,0.8059772409348391
3,0.8560752837637472,0.4084940798355871,0.7060518735423899,0.8191541644613063
4,0.8892886798005007,0.3175361779978029,0.6801152741187587,0.8295148803452593
5,0.9158593968047747,0.25349782477809624,0.6772334280206422,0.8536386730347999
6,0.934403542795242,0.20138097687866957,0.6541786746951276,0.9744437726842567
7,0.94741212274109,0.1688456532699792,0.700288184781583,0.9777873386910738
8,0.9504566840804781,0.1504030242508678,0.6714697392598353,1.0678822509837083
9,0.9634652641748016,0.12709426006764676,0.6801152741187587,1.144579675767882
10,0.9654027126418102,0.11367591289216186,0.6829971167814491,1.164006441058618
11,0.9681704954661526,0.10287591363794416,0.6916426499226594,1.1959140709566451
12,0.9706614999899137,0.09412926466815398,0.6829971167814491,1.2337827455756987
13,0.9734292833256715,0.0871225808371542,0.6858789628795656,1.2864045945643003
14,0.9739828395968885,0.08550789244648264,0.6829971167814491,1.3561289399776404
15,0.9742596180459452,0.08007917358003064,0.6743515836402387,1.3824890985956109
16,0.974536396198051,0.07174054026158272,0.6743515853579518,1.422161556458267
17,0.9750899531291589,0.07436523410609445,0.688760805542256,1.411370649461444
18,0.9750899529806835,0.070342251341692,0.6916426499226594,1.4464814604531104
19,0.9767506226027008,0.06758716945383578,0.6974063386834664,1.4392585324966254
20,0.9770274012332275,0.06543536958538064,0.694524494303063,1.5023460429408708
21,0.9750899531291589,0.06616254729303071,0.6829971184991622,1.5011041219365013
22,0.978134514105607,0.06053268930694584,0.6858789611618525,1.6079801520284382
23,0.9784112925546637,0.058377171409054206,0.6829971184991622,1.5230487667517978
24,0.9789648491888208,0.061445553397046805,0.694524494303063,1.5642445554650826
